value,label,count,probability,percentage
To meet friends/family,To meet friends/family,16,0.48484848484848486,48.484848484848484
To relax alone,To relax alone,8,0.24242424242424243,24.242424242424242
To be around other people,To be around other people,4,0.12121212121212122,12.121212121212121
To take a break while travelling,To take a break while travelling,1,0.030303030303030304,3.0303030303030303
All,All,1,0.030303030303030304,3.0303030303030303
to study,to study,1,0.030303030303030304,3.0303030303030303
Convenience on the way somewhere else,Convenience on the way somewhere else,1,0.030303030303030304,3.0303030303030303
Like to eat or drink out,Like to eat or drink out,1,0.030303030303030304,3.0303030303030303
